item_a,item_b,department_a,department_b,basket_count,pair_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift,category_affinity,anchor_item,recommended_item,recommendation_confidence,cross_sell_opportunity
CARROTS,VEGETABLES - ALL OTHERS,PRODUCE,PRODUCE,191561,3239,0.016908,0.401015,0.203762,4.832592,CARROTS + VEGETABLES - ALL OTHERS,CARROTS,VEGETABLES - ALL OTHERS,0.401015,Recommend VEGETABLES - ALL OTHERS to baskets containing CARROTS
FACIAL TISS/DNR NAPKIN,PAPER TOWELS,GROCERY,GROCERY,191561,1600,0.008352,0.243754,0.164136,4.790082,FACIAL TISS/DNR NAPKIN + PAPER TOWELS,FACIAL TISS/DNR NAPKIN,PAPER TOWELS,0.243754,Recommend PAPER TOWELS to baskets containing FACIAL TISS/DNR NAPKIN
ORAL HYGIENE PRODUCTS,SOAP - LIQUID & BAR,DRUG GM,DRUG GM,191561,954,0.00498,0.132371,0.173961,4.623847,ORAL HYGIENE PRODUCTS + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,ORAL HYGIENE PRODUCTS,0.173961,Recommend ORAL HYGIENE PRODUCTS to baskets containing SOAP - LIQUID & BAR
DRY SAUCES/GRAVY,VEGETABLES - SHELF STABLE,GROCERY,GROCERY,191561,3219,0.016804,0.523585,0.147573,4.598104,DRY SAUCES/GRAVY + VEGETABLES - SHELF STABLE,DRY SAUCES/GRAVY,VEGETABLES - SHELF STABLE,0.523585,Recommend VEGETABLES - SHELF STABLE to baskets containing DRY SAUCES/GRAVY
BEANS - CANNED GLASS & MW,VEGETABLES - SHELF STABLE,GROCERY,GROCERY,191561,4658,0.024316,0.5126,0.213542,4.501639,BEANS - CANNED GLASS & MW + VEGETABLES - SHELF STABLE,BEANS - CANNED GLASS & MW,VEGETABLES - SHELF STABLE,0.5126,Recommend VEGETABLES - SHELF STABLE to baskets containing BEANS - CANNED GLASS & MW
MUSHROOMS,ONIONS,PRODUCE,PRODUCE,191561,1615,0.008431,0.352082,0.106608,4.452121,MUSHROOMS + ONIONS,MUSHROOMS,ONIONS,0.352082,Recommend ONIONS to baskets containing MUSHROOMS
BAKING MIXES,BAKING NEEDS,GROCERY,GROCERY,191561,2441,0.012743,0.227345,0.246765,4.402586,BAKING MIXES + BAKING NEEDS,BAKING NEEDS,BAKING MIXES,0.246765,Recommend BAKING MIXES to baskets containing BAKING NEEDS
CAT FOOD,DOG FOODS,GROCERY,GROCERY,191561,887,0.00463,0.146515,0.138724,4.389506,CAT FOOD + DOG FOODS,CAT FOOD,DOG FOODS,0.146515,Recommend DOG FOODS to baskets containing CAT FOOD
HISPANIC,MISC. DAIRY,GROCERY,GROCERY,191561,2190,0.011432,0.160899,0.311833,4.388726,HISPANIC + MISC. DAIRY,MISC. DAIRY,HISPANIC,0.311833,Recommend HISPANIC to baskets containing MISC. DAIRY
ORGANICS FRUIT & VEGETABLES,PEPPERS-ALL,PRODUCE,PRODUCE,191561,931,0.00486,0.180917,0.11696,4.353855,ORGANICS FRUIT & VEGETABLES + PEPPERS-ALL,ORGANICS FRUIT & VEGETABLES,PEPPERS-ALL,0.180917,Recommend PEPPERS-ALL to baskets containing ORGANICS FRUIT & VEGETABLES
BERRIES,STONE FRUIT,PRODUCE,PRODUCE,191561,1064,0.005554,0.120416,0.199288,4.320491,BERRIES + STONE FRUIT,STONE FRUIT,BERRIES,0.199288,Recommend BERRIES to baskets containing STONE FRUIT
DINNER MXS:DRY,MEAT - SHELF STABLE,GROCERY,GROCERY,191561,3774,0.019701,0.296745,0.28643,4.314263,DINNER MXS:DRY + MEAT - SHELF STABLE,DINNER MXS:DRY,MEAT - SHELF STABLE,0.296745,Recommend MEAT - SHELF STABLE to baskets containing DINNER MXS:DRY
DRY NOODLES/PASTA,FROZEN BREAD/DOUGH,GROCERY,GROCERY,191561,2043,0.010665,0.151817,0.30115,4.28688,DRY NOODLES/PASTA + FROZEN BREAD/DOUGH,FROZEN BREAD/DOUGH,DRY NOODLES/PASTA,0.30115,Recommend DRY NOODLES/PASTA to baskets containing FROZEN BREAD/DOUGH
BACON,BREAKFAST SAUSAGE/SANDWICHES,MEAT-PCKGD,MEAT-PCKGD,191561,2464,0.012863,0.235902,0.233422,4.280948,BACON + BREAKFAST SAUSAGE/SANDWICHES,BACON,BREAKFAST SAUSAGE/SANDWICHES,0.235902,Recommend BREAKFAST SAUSAGE/SANDWICHES to baskets containing BACON
BAKING MIXES,DRY MIX DESSERTS,GROCERY,GROCERY,191561,1237,0.006457,0.115209,0.239822,4.278707,BAKING MIXES + DRY MIX DESSERTS,DRY MIX DESSERTS,BAKING MIXES,0.239822,Recommend BAKING MIXES to baskets containing DRY MIX DESSERTS
ORGANICS FRUIT & VEGETABLES,PROCESSED,PRODUCE,PRODUCE,191561,520,0.002715,0.101049,0.114613,4.266501,ORGANICS FRUIT & VEGETABLES + PROCESSED,PROCESSED,ORGANICS FRUIT & VEGETABLES,0.114613,Recommend ORGANICS FRUIT & VEGETABLES to baskets containing PROCESSED
FROZEN MEAT,FRZN POTATOES,MEAT-PCKGD,GROCERY,191561,1353,0.007063,0.172929,0.173796,4.255175,FROZEN MEAT + FRZN POTATOES,FRZN POTATOES,FROZEN MEAT,0.173796,Recommend FROZEN MEAT to baskets containing FRZN POTATOES
DINNER SAUSAGE,HOT DOGS,MEAT-PCKGD,MEAT-PCKGD,191561,2213,0.011552,0.231389,0.209564,4.197445,DINNER SAUSAGE + HOT DOGS,DINNER SAUSAGE,HOT DOGS,0.231389,Recommend HOT DOGS to baskets containing DINNER SAUSAGE
SHORTENING/OIL,SPICES & EXTRACTS,GROCERY,GROCERY,191561,1554,0.008112,0.197962,0.171391,4.182393,SHORTENING/OIL + SPICES & EXTRACTS,SHORTENING/OIL,SPICES & EXTRACTS,0.197962,Recommend SPICES & EXTRACTS to baskets containing SHORTENING/OIL
SHORTENING/OIL,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,1665,0.008692,0.212102,0.170315,4.156143,SHORTENING/OIL + SUGARS/SWEETNERS,SHORTENING/OIL,SUGARS/SWEETNERS,0.212102,Recommend SUGARS/SWEETNERS to baskets containing SHORTENING/OIL
PICKLE/RELISH/PKLD VEG,SALD DRSNG/SNDWCH SPRD,GROCERY,GROCERY,191561,2065,0.01078,0.349763,0.128006,4.153293,PICKLE/RELISH/PKLD VEG + SALD DRSNG/SNDWCH SPRD,PICKLE/RELISH/PKLD VEG,SALD DRSNG/SNDWCH SPRD,0.349763,Recommend SALD DRSNG/SNDWCH SPRD to baskets containing PICKLE/RELISH/PKLD VEG
MUSHROOMS,PROCESSED,PRODUCE,PRODUCE,191561,449,0.002344,0.097885,0.098964,4.13291,MUSHROOMS + PROCESSED,PROCESSED,MUSHROOMS,0.098964,Recommend MUSHROOMS to baskets containing PROCESSED
HOUSEHOLD CLEANG NEEDS,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,804,0.004197,0.117664,0.146608,4.110118,HOUSEHOLD CLEANG NEEDS + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,HOUSEHOLD CLEANG NEEDS,0.146608,Recommend HOUSEHOLD CLEANG NEEDS to baskets containing SOAP - LIQUID & BAR
MUSHROOMS,VEGETABLES - ALL OTHERS,PRODUCE,PRODUCE,191561,1556,0.008123,0.33922,0.097886,4.087898,MUSHROOMS + VEGETABLES - ALL OTHERS,MUSHROOMS,VEGETABLES - ALL OTHERS,0.33922,Recommend VEGETABLES - ALL OTHERS to baskets containing MUSHROOMS
HAIR CARE PRODUCTS,ORAL HYGIENE PRODUCTS,DRUG GM,DRUG GM,191561,1107,0.005779,0.153473,0.153601,4.079287,HAIR CARE PRODUCTS + ORAL HYGIENE PRODUCTS,ORAL HYGIENE PRODUCTS,HAIR CARE PRODUCTS,0.153601,Recommend HAIR CARE PRODUCTS to baskets containing ORAL HYGIENE PRODUCTS
BATH TISSUES,FACIAL TISS/DNR NAPKIN,GROCERY,GROCERY,191561,1797,0.009381,0.139454,0.273766,4.069757,BATH TISSUES + FACIAL TISS/DNR NAPKIN,FACIAL TISS/DNR NAPKIN,BATH TISSUES,0.273766,Recommend BATH TISSUES to baskets containing FACIAL TISS/DNR NAPKIN
BAKING NEEDS,BUTTER,GROCERY,GROCERY,191561,1007,0.005257,0.101799,0.209923,4.065208,BAKING NEEDS + BUTTER,BUTTER,BAKING NEEDS,0.209923,Recommend BAKING NEEDS to baskets containing BUTTER
CARROTS,PEPPERS-ALL,PRODUCE,PRODUCE,191561,1360,0.0071,0.168379,0.170854,4.052125,CARROTS + PEPPERS-ALL,PEPPERS-ALL,CARROTS,0.170854,Recommend CARROTS to baskets containing PEPPERS-ALL
DINNER MXS:DRY,DRY BN/VEG/POTATO/RICE,GROCERY,GROCERY,191561,3405,0.017775,0.267731,0.268322,4.041511,DINNER MXS:DRY + DRY BN/VEG/POTATO/RICE,DRY BN/VEG/POTATO/RICE,DINNER MXS:DRY,0.268322,Recommend DINNER MXS:DRY to baskets containing DRY BN/VEG/POTATO/RICE
DINNER MXS:DRY,DRY SAUCES/GRAVY,GROCERY,GROCERY,191561,1644,0.008582,0.129266,0.267404,4.027692,DINNER MXS:DRY + DRY SAUCES/GRAVY,DRY SAUCES/GRAVY,DINNER MXS:DRY,0.267404,Recommend DINNER MXS:DRY to baskets containing DRY SAUCES/GRAVY
BAKING NEEDS,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,2027,0.010581,0.204913,0.207345,4.015277,BAKING NEEDS + SUGARS/SWEETNERS,SUGARS/SWEETNERS,BAKING NEEDS,0.207345,Recommend BAKING NEEDS to baskets containing SUGARS/SWEETNERS
MUSHROOMS,REFRIGERATED,PRODUCE,NUTRITION,191561,466,0.002433,0.101591,0.095845,4.002666,MUSHROOMS + REFRIGERATED,MUSHROOMS,REFRIGERATED,0.101591,Recommend REFRIGERATED to baskets containing MUSHROOMS
APPLES,CITRUS,PRODUCE,PRODUCE,191561,2603,0.013588,0.203981,0.266346,3.998238,APPLES + CITRUS,CITRUS,APPLES,0.266346,Recommend APPLES to baskets containing CITRUS
DINNER MXS:DRY,SEAFOOD - SHELF STABLE,GROCERY,GROCERY,191561,1995,0.010414,0.156864,0.265081,3.992703,DINNER MXS:DRY + SEAFOOD - SHELF STABLE,SEAFOOD - SHELF STABLE,DINNER MXS:DRY,0.265081,Recommend DINNER MXS:DRY to baskets containing SEAFOOD - SHELF STABLE
DRY BN/VEG/POTATO/RICE,DRY SAUCES/GRAVY,GROCERY,GROCERY,191561,1613,0.00842,0.127108,0.262362,3.960463,DRY BN/VEG/POTATO/RICE + DRY SAUCES/GRAVY,DRY SAUCES/GRAVY,DRY BN/VEG/POTATO/RICE,0.262362,Recommend DRY BN/VEG/POTATO/RICE to baskets containing DRY SAUCES/GRAVY
CITRUS,ORGANICS FRUIT & VEGETABLES,PRODUCE,PRODUCE,191561,1039,0.005424,0.106313,0.201904,3.957537,CITRUS + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,CITRUS,0.201904,Recommend CITRUS to baskets containing ORGANICS FRUIT & VEGETABLES
FACIAL TISS/DNR NAPKIN,HOUSEHOLD CLEANG NEEDS,GROCERY,GROCERY,191561,925,0.004829,0.14092,0.135372,3.950653,FACIAL TISS/DNR NAPKIN + HOUSEHOLD CLEANG NEEDS,FACIAL TISS/DNR NAPKIN,HOUSEHOLD CLEANG NEEDS,0.14092,Recommend HOUSEHOLD CLEANG NEEDS to baskets containing FACIAL TISS/DNR NAPKIN
HOUSEHOLD CLEANG NEEDS,PAPER TOWELS,GROCERY,GROCERY,191561,1370,0.007152,0.200498,0.140542,3.940041,HOUSEHOLD CLEANG NEEDS + PAPER TOWELS,HOUSEHOLD CLEANG NEEDS,PAPER TOWELS,0.200498,Recommend PAPER TOWELS to baskets containing HOUSEHOLD CLEANG NEEDS
CARROTS,PROCESSED,PRODUCE,PRODUCE,191561,753,0.003931,0.093228,0.165969,3.936255,CARROTS + PROCESSED,PROCESSED,CARROTS,0.165969,Recommend CARROTS to baskets containing PROCESSED
CONDIMENTS/SAUCES,PICKLE/RELISH/PKLD VEG,GROCERY,GROCERY,191561,2067,0.01079,0.120553,0.350102,3.911456,CONDIMENTS/SAUCES + PICKLE/RELISH/PKLD VEG,PICKLE/RELISH/PKLD VEG,CONDIMENTS/SAUCES,0.350102,Recommend CONDIMENTS/SAUCES to baskets containing PICKLE/RELISH/PKLD VEG
BERRIES,GRAPES,PRODUCE,PRODUCE,191561,1761,0.009193,0.199298,0.180043,3.90326,BERRIES + GRAPES,BERRIES,GRAPES,0.199298,Recommend GRAPES to baskets containing BERRIES
ORGANICS FRUIT & VEGETABLES,VEGETABLES - ALL OTHERS,PRODUCE,PRODUCE,191561,1666,0.008697,0.323747,0.104806,3.901436,ORGANICS FRUIT & VEGETABLES + VEGETABLES - ALL OTHERS,ORGANICS FRUIT & VEGETABLES,VEGETABLES - ALL OTHERS,0.323747,Recommend VEGETABLES - ALL OTHERS to baskets containing ORGANICS FRUIT & VEGETABLES
PEPPERS-ALL,TOMATOES,PRODUCE,PRODUCE,191561,2412,0.012591,0.303015,0.161868,3.895435,PEPPERS-ALL + TOMATOES,PEPPERS-ALL,TOMATOES,0.303015,Recommend TOMATOES to baskets containing PEPPERS-ALL
MEAT - SHELF STABLE,SEAFOOD - SHELF STABLE,GROCERY,GROCERY,191561,2015,0.010519,0.15293,0.267739,3.892551,MEAT - SHELF STABLE + SEAFOOD - SHELF STABLE,SEAFOOD - SHELF STABLE,MEAT - SHELF STABLE,0.267739,Recommend MEAT - SHELF STABLE to baskets containing SEAFOOD - SHELF STABLE
GRAPES,STONE FRUIT,PRODUCE,PRODUCE,191561,1056,0.005513,0.107964,0.19779,3.873717,GRAPES + STONE FRUIT,STONE FRUIT,GRAPES,0.19779,Recommend GRAPES to baskets containing STONE FRUIT
PREPARED FOOD,SALADS/DIPS,DELI,DELI,191561,459,0.002396,0.116497,0.079618,3.87101,PREPARED FOOD + SALADS/DIPS,PREPARED FOOD,SALADS/DIPS,0.116497,Recommend SALADS/DIPS to baskets containing PREPARED FOOD
DISHWASH DETERGENTS,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,642,0.003351,0.109594,0.117068,3.828206,DISHWASH DETERGENTS + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,DISHWASH DETERGENTS,0.117068,Recommend DISHWASH DETERGENTS to baskets containing SOAP - LIQUID & BAR
BERRIES,VALUE ADDED FRUIT,PRODUCE,PRODUCE,191561,994,0.005189,0.112494,0.176304,3.822194,BERRIES + VALUE ADDED FRUIT,VALUE ADDED FRUIT,BERRIES,0.176304,Recommend BERRIES to baskets containing VALUE ADDED FRUIT
FD WRAPS/BAGS/TRSH BG,PAPER HOUSEWARES,GROCERY,GROCERY,191561,1536,0.008018,0.145427,0.210353,3.815139,FD WRAPS/BAGS/TRSH BG + PAPER HOUSEWARES,PAPER HOUSEWARES,FD WRAPS/BAGS/TRSH BG,0.210353,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing PAPER HOUSEWARES
BAKING MIXES,SHORTENING/OIL,GROCERY,GROCERY,191561,1662,0.008676,0.154792,0.21172,3.777335,BAKING MIXES + SHORTENING/OIL,SHORTENING/OIL,BAKING MIXES,0.21172,Recommend BAKING MIXES to baskets containing SHORTENING/OIL
BAKING NEEDS,DRY MIX DESSERTS,GROCERY,GROCERY,191561,1005,0.005246,0.101597,0.194843,3.773182,BAKING NEEDS + DRY MIX DESSERTS,DRY MIX DESSERTS,BAKING NEEDS,0.194843,Recommend BAKING NEEDS to baskets containing DRY MIX DESSERTS
DRY MIX DESSERTS,FRUIT - SHELF STABLE,GROCERY,GROCERY,191561,1289,0.006729,0.249903,0.101528,3.770611,DRY MIX DESSERTS + FRUIT - SHELF STABLE,DRY MIX DESSERTS,FRUIT - SHELF STABLE,0.249903,Recommend FRUIT - SHELF STABLE to baskets containing DRY MIX DESSERTS
DINNER MXS:DRY,PASTA SAUCE,GROCERY,GROCERY,191561,2791,0.01457,0.219453,0.248996,3.750432,DINNER MXS:DRY + PASTA SAUCE,PASTA SAUCE,DINNER MXS:DRY,0.248996,Recommend DINNER MXS:DRY to baskets containing PASTA SAUCE
BERRIES,ORGANICS FRUIT & VEGETABLES,PRODUCE,PRODUCE,191561,888,0.004636,0.100498,0.172561,3.741059,BERRIES + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,BERRIES,0.172561,Recommend BERRIES to baskets containing ORGANICS FRUIT & VEGETABLES
LAUNDRY DETERGENTS,PAPER TOWELS,GROCERY,GROCERY,191561,1477,0.00771,0.190212,0.151518,3.737925,LAUNDRY DETERGENTS + PAPER TOWELS,LAUNDRY DETERGENTS,PAPER TOWELS,0.190212,Recommend PAPER TOWELS to baskets containing LAUNDRY DETERGENTS
PROCESSED,SALAD MIX,PRODUCE,PRODUCE,191561,1334,0.006964,0.294027,0.088479,3.735762,PROCESSED + SALAD MIX,PROCESSED,SALAD MIX,0.294027,Recommend SALAD MIX to baskets containing PROCESSED
BERRIES,PROCESSED,PRODUCE,PRODUCE,191561,781,0.004077,0.088388,0.17214,3.731931,BERRIES + PROCESSED,PROCESSED,BERRIES,0.17214,Recommend BERRIES to baskets containing PROCESSED
MUSHROOMS,SALAD MIX,PRODUCE,PRODUCE,191561,1341,0.007,0.292348,0.088943,3.71443,MUSHROOMS + SALAD MIX,MUSHROOMS,SALAD MIX,0.292348,Recommend SALAD MIX to baskets containing MUSHROOMS
FROZEN BREAD/DOUGH,FRZN BREAKFAST FOODS,GROCERY,GROCERY,191561,910,0.00475,0.134139,0.131105,3.702036,FROZEN BREAD/DOUGH + FRZN BREAKFAST FOODS,FROZEN BREAD/DOUGH,FRZN BREAKFAST FOODS,0.134139,Recommend FRZN BREAKFAST FOODS to baskets containing FROZEN BREAD/DOUGH
PAPER HOUSEWARES,PAPER TOWELS,GROCERY,GROCERY,191561,1374,0.007173,0.188168,0.140952,3.697741,PAPER HOUSEWARES + PAPER TOWELS,PAPER HOUSEWARES,PAPER TOWELS,0.188168,Recommend PAPER TOWELS to baskets containing PAPER HOUSEWARES
DISHWASH DETERGENTS,PAPER TOWELS,GROCERY,GROCERY,191561,1102,0.005753,0.188119,0.113049,3.696782,DISHWASH DETERGENTS + PAPER TOWELS,DISHWASH DETERGENTS,PAPER TOWELS,0.188119,Recommend PAPER TOWELS to baskets containing DISHWASH DETERGENTS
CARROTS,MUSHROOMS,PRODUCE,PRODUCE,191561,713,0.003722,0.088275,0.155439,3.68653,CARROTS + MUSHROOMS,MUSHROOMS,CARROTS,0.155439,Recommend CARROTS to baskets containing MUSHROOMS
HOT DOGS,MEAT - SHELF STABLE,MEAT-PCKGD,GROCERY,191561,2661,0.013891,0.251989,0.201958,3.66357,HOT DOGS + MEAT - SHELF STABLE,HOT DOGS,MEAT - SHELF STABLE,0.251989,Recommend MEAT - SHELF STABLE to baskets containing HOT DOGS
PICKLE/RELISH/PKLD VEG,SEAFOOD - SHELF STABLE,GROCERY,GROCERY,191561,849,0.004432,0.143801,0.112809,3.660195,PICKLE/RELISH/PKLD VEG + SEAFOOD - SHELF STABLE,PICKLE/RELISH/PKLD VEG,SEAFOOD - SHELF STABLE,0.143801,Recommend SEAFOOD - SHELF STABLE to baskets containing PICKLE/RELISH/PKLD VEG
SPICES & EXTRACTS,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,1692,0.008833,0.186611,0.173077,3.656644,SPICES & EXTRACTS + SUGARS/SWEETNERS,SPICES & EXTRACTS,SUGARS/SWEETNERS,0.186611,Recommend SUGARS/SWEETNERS to baskets containing SPICES & EXTRACTS
LAUNDRY DETERGENTS,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,811,0.004234,0.104443,0.147885,3.648287,LAUNDRY DETERGENTS + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,LAUNDRY DETERGENTS,0.147885,Recommend LAUNDRY DETERGENTS to baskets containing SOAP - LIQUID & BAR
FACIAL TISS/DNR NAPKIN,FD WRAPS/BAGS/TRSH BG,GROCERY,GROCERY,191561,1314,0.006859,0.200183,0.124408,3.630678,FACIAL TISS/DNR NAPKIN + FD WRAPS/BAGS/TRSH BG,FACIAL TISS/DNR NAPKIN,FD WRAPS/BAGS/TRSH BG,0.200183,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing FACIAL TISS/DNR NAPKIN
ONIONS,VEGETABLES - ALL OTHERS,PRODUCE,PRODUCE,191561,4550,0.023752,0.30035,0.286236,3.619484,ONIONS + VEGETABLES - ALL OTHERS,ONIONS,VEGETABLES - ALL OTHERS,0.30035,Recommend VEGETABLES - ALL OTHERS to baskets containing ONIONS
STONE FRUIT,VALUE ADDED FRUIT,PRODUCE,PRODUCE,191561,567,0.00296,0.1062,0.100568,3.608321,STONE FRUIT + VALUE ADDED FRUIT,STONE FRUIT,VALUE ADDED FRUIT,0.1062,Recommend VALUE ADDED FRUIT to baskets containing STONE FRUIT
BREAKFAST SAUSAGE/SANDWICHES,REFRGRATD DOUGH PRODUCTS,MEAT-PCKGD,GROCERY,191561,2680,0.01399,0.253884,0.198005,3.593224,BREAKFAST SAUSAGE/SANDWICHES + REFRGRATD DOUGH PRODUCTS,BREAKFAST SAUSAGE/SANDWICHES,REFRGRATD DOUGH PRODUCTS,0.253884,Recommend REFRGRATD DOUGH PRODUCTS to baskets containing BREAKFAST SAUSAGE/SANDWICHES
